

inst#,actual,predicted,error,prediction
1,2:normal,1:anormal,+,0.85
2,2:normal,1:anormal,+,0.85
3,2:normal,1:anormal,+,0.85
4,2:normal,1:anormal,+,0.85
5,1:anormal,1:anormal,,0.85
6,2:normal,1:anormal,+,0.85
7,2:normal,1:anormal,+,0.85
8,2:normal,1:anormal,+,0.85
9,1:anormal,1:anormal,,0.85
10,2:normal,1:anormal,+,0.85
11,1:anormal,1:anormal,,0.85
12,2:normal,1:anormal,+,0.85
13,1:anormal,1:anormal,,0.85
14,2:normal,1:anormal,+,0.85
15,2:normal,1:anormal,+,0.85
16,2:normal,2:normal,,0.879
17,2:normal,1:anormal,+,0.783
18,2:normal,2:normal,,0.522
19,2:normal,1:anormal,+,0.783
20,2:normal,2:normal,,0.593
21,2:normal,1:anormal,+,0.703
22,2:normal,2:normal,,0.612
23,2:normal,2:normal,,0.789
24,2:normal,2:normal,,0.67
25,2:normal,2:normal,,0.612
26,2:normal,2:normal,,0.67
27,2:normal,2:normal,,0.594
28,2:normal,2:normal,,0.612
29,2:normal,2:normal,,0.594
30,2:normal,2:normal,,0.594
31,2:normal,2:normal,,0.671
32,2:normal,2:normal,,0.594
33,2:normal,2:normal,,0.671
34,2:normal,2:normal,,0.594
35,2:normal,2:normal,,0.514
36,2:normal,2:normal,,0.671
37,2:normal,2:normal,,0.514
38,2:normal,2:normal,,0.671
39,2:normal,2:normal,,0.514
40,2:normal,2:normal,,0.514
41,2:normal,2:normal,,0.602
42,2:normal,2:normal,,0.581
43,2:normal,1:anormal,+,0.595
44,1:anormal,1:anormal,,0.595
45,2:normal,1:anormal,+,0.565
46,2:normal,1:anormal,+,0.565
47,2:normal,1:anormal,+,0.565
48,2:normal,1:anormal,+,0.789
49,2:normal,1:anormal,+,0.565
50,1:anormal,1:anormal,,0.565
51,1:anormal,1:anormal,,0.565
52,2:normal,1:anormal,+,0.667
53,2:normal,2:normal,,0.602
54,2:normal,2:normal,,0.559
55,2:normal,2:normal,,0.671
56,2:normal,2:normal,,0.559
57,2:normal,2:normal,,0.671
58,2:normal,2:normal,,0.671
59,2:normal,2:normal,,0.67
60,2:normal,2:normal,,0.671
61,2:normal,2:normal,,0.671
62,2:normal,2:normal,,0.671
63,2:normal,2:normal,,0.67
64,2:normal,2:normal,,0.671
65,2:normal,2:normal,,0.671
66,2:normal,2:normal,,0.671
67,2:normal,2:normal,,0.671
68,2:normal,2:normal,,0.789
69,2:normal,2:normal,,0.671
70,2:normal,2:normal,,0.671
71,2:normal,2:normal,,0.671
72,2:normal,2:normal,,0.671
73,2:normal,2:normal,,0.612
74,2:normal,2:normal,,0.612
75,2:normal,2:normal,,0.593
76,2:normal,2:normal,,0.593
77,2:normal,2:normal,,0.792
