@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Cfirst-Llast'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data

anormal,0.15,0
anormal,0.15,0
anormal,0.15,0
anormal,0.15,0
anormal,0.15,0
anormal,0.15,0
anormal,0.15,0
anormal,0.19136,0.045455
anormal,0.192876,0.045455
anormal,0.196475,0.020408
anormal,0.192393,0.020408
anormal,0.170529,0.142857
anormal,0.171539,0.071429
anormal,0.174587,0
anormal,0.173505,0.037037
anormal,0.173505,0.037037
anormal,0.173959,0.052632
anormal,0.175713,0.052632
anormal,0.183868,0.122222
anormal,0.180387,0.029412
anormal,0.178001,0
anormal,0.176246,0
anormal,0.159191,0.027778
anormal,0.160697,0.014286
anormal,0.161173,0.014286
anormal,0.171332,0.045455
anormal,0.179948,0.057143
anormal,0.209094,0
anormal,0.199017,0
anormal,0.191163,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.182985,0.058824
anormal,0.184946,0.058824
anormal,0.192003,0.02381
anormal,0.168431,0
anormal,0.17037,0.12931
anormal,0.171856,0
anormal,0.173805,0.05848
anormal,0.170353,0
anormal,0.170353,0
anormal,0.169909,0.037037
anormal,0.168579,0.037037
anormal,0.181036,0.034483
anormal,0.185394,0.142857
anormal,0.176595,0.027778
anormal,0.176132,0.027778
anormal,0.175724,0
anormal,0.163745,0.064516
anormal,0.167506,0.026316
anormal,0.205032,0
anormal,0.20048,0
anormal,0.198814,0
anormal,0.203385,0
anormal,0.205608,0.133333
anormal,0.210052,0.133333
anormal,0.18906,0.0625
anormal,0.191143,0.0625
anormal,0.184358,0
anormal,0.177213,0
anormal,0.180173,0.040816
anormal,0.175662,0
anormal,0.173907,0
anormal,0.175058,0.118056
anormal,0.16841,0.128571
anormal,0.172891,0.022388
anormal,0.185899,0.166667
anormal,0.194908,0.18
anormal,0.219871,0
anormal,0.207791,0
anormal,0.198034,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.186591,0.052632
anormal,0.188346,0.052632
anormal,0.193628,0.011111
anormal,0.168891,0
anormal,0.16704,0
anormal,0.165285,0
anormal,0.158769,0
anormal,0.162445,0.023256
anormal,0.16322,0.023256
anormal,0.168392,0
anormal,0.17083,0
anormal,0.178751,0
anormal,0.177418,0
anormal,0.177916,0.07377
anormal,0.166813,0.027778
anormal,0.168108,0.02027
anormal,0.162382,0
anormal,0.162382,0
anormal,0.161986,0.016667
anormal,0.162541,0.016667
anormal,0.196814,0
anormal,0.208716,0
anormal,0.209854,0.125
anormal,0.195437,0.18
anormal,0.19549,0.018868
anormal,0.175915,0.035714
anormal,0.177105,0.035714
anormal,0.171524,0.018519
anormal,0.175474,0
anormal,0.174857,0
anormal,0.171194,0
anormal,0.171194,0
anormal,0.180177,0.043478
anormal,0.181627,0.043478
anormal,0.182398,0.019231
anormal,0.170492,0.028571
anormal,0.17009,0
anormal,0.163777,0.147059
anormal,0.16763,0.015152
anormal,0.185369,0.058824
anormal,0.189829,0.095238
anormal,0.208399,0
anormal,0.200023,0
anormal,0.193405,0
anormal,0.182958,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.189845,0.047619
anormal,0.200058,0.027027
anormal,0.167514,0
anormal,0.167514,0
anormal,0.172788,0.055556
anormal,0.177642,0
anormal,0.178561,0.015152
anormal,0.177046,0.015152
anormal,0.163442,0
anormal,0.163442,0
anormal,0.16388,0.083333
anormal,0.168054,0.037037
anormal,0.169288,0.037037
anormal,0.172974,0.021277
anormal,0.172782,0.021277
anormal,0.204292,0
anormal,0.197059,0
anormal,0.191163,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.162632,0
anormal,0.17683,0.033333
anormal,0.177941,0.033333
anormal,0.175258,0
anormal,0.173976,0
anormal,0.170427,0.017544
anormal,0.162758,0
anormal,0.162758,0
anormal,0.163652,0.021739
anormal,0.164376,0.021739
anormal,0.170626,0
anormal,0.168871,0
anormal,0.16836,0.041667
anormal,0.183815,0.071429
anormal,0.182176,0.016949
anormal,0.180177,0.016949
anormal,0.16733,0
anormal,0.16733,0
anormal,0.164608,0
anormal,0.164608,0
anormal,0.156764,0.03125
anormal,0.157805,0.03125
anormal,0.158997,0.016667
anormal,0.159552,0.016667
anormal,0.194477,0.125
anormal,0.198644,0.125
anormal,0.219072,0
anormal,0.218127,0.0625
anormal,0.220211,0.0625
anormal,0.194199,0
anormal,0.183871,0.019231
anormal,0.184512,0.019231
anormal,0.159999,0
anormal,0.15855,0
anormal,0.157161,0
anormal,0.157161,0
anormal,0.172476,0.071429
anormal,0.176306,0
anormal,0.176306,0
anormal,0.181758,0.136364
anormal,0.185735,0.040816
anormal,0.187095,0.040816
anormal,0.184422,0.142857
anormal,0.187647,0.042254
anormal,0.170788,0.027778
anormal,0.175559,0.014286
anormal,0.174889,0.043478
anormal,0.180972,0.054054
anormal,0.204914,0
anormal,0.197905,0
anormal,0.191163,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.178941,0.066667
anormal,0.181163,0.066667
anormal,0.188901,0.025641
anormal,0.170626,0
anormal,0.168871,0
anormal,0.16836,0.041667
anormal,0.167368,0.041667
anormal,0.181632,0.035714
anormal,0.181434,0.035714
anormal,0.178403,0.016667
anormal,0.168975,0
anormal,0.168975,0
anormal,0.166253,0
anormal,0.166253,0
anormal,0.156764,0
anormal,0.159816,0.050847
anormal,0.196814,0
anormal,0.207129,0
anormal,0.209406,0.090909
anormal,0.194199,0
anormal,0.189437,0
anormal,0.183175,0.009434
anormal,0.158336,0
anormal,0.156887,0
anormal,0.156115,0.018519
anormal,0.176092,0.142857
anormal,0.181068,0
anormal,0.177213,0
anormal,0.177213,0
anormal,0.176304,0.030612
anormal,0.168528,0
anormal,0.168375,0.014085
anormal,0.167257,0.014085
anormal,0.163326,0.1
anormal,0.166591,0.014706
anormal,0.183202,0.15
anormal,0.188036,0.064516
anormal,0.189696,0.064516
anormal,0.211872,0
anormal,0.196968,0
anormal,0.190861,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.184837,0.055556
anormal,0.193354,0.02381
anormal,0.194148,0.02381
anormal,0.169835,0
anormal,0.169835,0
anormal,0.163946,0.086207
anormal,0.166728,0.047619
anormal,0.168315,0.047619
anormal,0.168644,0
anormal,0.168644,0
