@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Cfirst-Lfirst-weka.filters.unsupervised.instance.RemovePercentage-P88.78'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
normal,0.181632,0.035714
normal,0.182823,0
normal,0.180045,0.034483
normal,0.181195,0
normal,0.17863,0.033333
normal,0.179742,0.032258
normal,0.180817,0
normal,0.178436,0
normal,0.178436,0.03125
normal,0.177255,0
normal,0.177255,0.030303
normal,0.176182,0
normal,0.174221,0.029412
normal,0.175202,0.142857
normal,0.182874,0
normal,0.181119,0.014286
normal,0.178563,0.121951
normal,0.181834,0
normal,0.181059,0
normal,0.180301,0
normal,0.17882,0
normal,0.177339,0.027778
normal,0.178264,0
normal,0.176876,0
normal,0.175542,0
normal,0.175542,0.027027
normal,0.175161,0
normal,0.173926,0
normal,0.173926,0
normal,0.172736,0
normal,0.172736,0
normal,0.171587,0.027778
normal,0.172513,0
normal,0.170326,0.014493
normal,0.170809,0.014706
normal,0.170748,0.029412
normal,0.170718,0.030303
normal,0.171728,0
normal,0.170748,0.03125
normal,0.167028,0
normal,0.162266,0.032258
normal,0.163341,0
normal,0.162865,0.033333
normal,0.1635,0.034483
normal,0.160584,0
normal,0.160584,0.035714
normal,0.161775,0.037037
normal,0.163009,0
normal,0.163009,0.038462
normal,0.163365,0.04
normal,0.164699,0.041667
normal,0.166088,0
normal,0.166088,0.043478
normal,0.166636,0.045455
normal,0.168151,0.047619
normal,0.169738,0
normal,0.169738,0.05
normal,0.171405,0.052632
normal,0.173988,0.03125
normal,0.17503,0.030303
normal,0.17604,0.03125
normal,0.177081,0.064516
normal,0.178749,0.068966
normal,0.180557,0.037037
normal,0.181302,0.038462
normal,0.183158,0
normal,0.182116,0.090909
normal,0.185146,0.1
normal,0.187404,0
normal,0.187404,0.111111
normal,0.189997,0
normal,0.188847,0.125
normal,0.193014,0
normal,0.191824,0.142857
normal,0.195351,0
normal,0.195351,0.166667
normal,0.199624,0
normal,0.196902,0
normal,0.196902,0
normal,0.193938,0
normal,0.19235,0
normal,0.19235,0
normal,0.190684,0
normal,0.188929,0
normal,0.186133,0
normal,0.185123,0
normal,0.184082,0
normal,0.179632,0
normal,0.178398,0
normal,0.177116,0
normal,0.175834,0
normal,0.174551,0
normal,0.171521,0
normal,0.168188,0
normal,0.168188,0
normal,0.164484,0
normal,0.160317,0
normal,0.155556,0
normal,0.15,0
normal,0.15,0.142857
normal,0.154762,0.125
normal,0.158929,0
normal,0.158929,0.111111
normal,0.162632,0
normal,0.162632,0.1
normal,0.165966,0
normal,0.165966,0.090909
normal,0.168996,0.083333
normal,0.171774,0
normal,0.171774,0.076923
normal,0.174338,0.071429
normal,0.176719,0
normal,0.176719,0.066667
normal,0.178941,0.0625
normal,0.181024,0
normal,0.181024,0.058824
normal,0.182985,0
normal,0.182985,0.055556
normal,0.184837,0.052632
normal,0.186591,0
normal,0.186591,0.05
normal,0.191591,0.046512
normal,0.193142,0.022222
normal,0.193882,0.021739
normal,0.194607,0.021277
normal,0.196026,0.019608
normal,0.196679,0
normal,0.191917,0
normal,0.187751,0.04
normal,0.189084,0
normal,0.18538,0.038462
normal,0.186662,0
normal,0.183329,0
normal,0.183329,0.037037
normal,0.181533,0
normal,0.178755,0
normal,0.178755,0
normal,0.176191,0
normal,0.17381,0.035714
normal,0.175001,0
normal,0.172779,0
normal,0.170695,0
normal,0.170695,0
normal,0.168734,0
normal,0.168734,0
normal,0.166883,0
normal,0.165128,0
normal,0.161795,0
normal,0.160128,0
normal,0.158578,0.142857
normal,0.166636,0.035714
normal,0.167118,0
normal,0.166408,0
normal,0.165755,0
normal,0.165755,0.037037
normal,0.166989,0
normal,0.165656,0
normal,0.165656,0.038462
normal,0.165656,0
normal,0.165656,0.04
normal,0.166989,0
normal,0.165755,0.041667
normal,0.167144,0
normal,0.167144,0.043478
normal,0.168593,0
normal,0.168593,0
normal,0.167402,0.045455
normal,0.168918,0
normal,0.168918,0.047619
normal,0.170505,0
normal,0.170505,0.05
normal,0.172172,0.052632
normal,0.173926,0
normal,0.173926,0.055556
normal,0.175778,0
normal,0.175778,0.030303
normal,0.176788,0.03125
normal,0.173068,0.032258
normal,0.169381,0.033333
normal,0.169302,0.034483
normal,0.170451,0.035714
normal,0.172788,0
normal,0.172788,0.076923
normal,0.175352,0
normal,0.17407,0
normal,0.17407,0
normal,0.172737,0.083333
normal,0.175514,0
normal,0.174126,0
normal,0.174126,0
normal,0.172676,0
normal,0.172676,0.090909
normal,0.175707,0
normal,0.174191,0
normal,0.174191,0
normal,0.172604,0
normal,0.172604,0
normal,0.170937,0
normal,0.169183,0
normal,0.169183,0
normal,0.167331,0.1
normal,0.170665,0
normal,0.170665,0
normal,0.170665,0
normal,0.169654,0
normal,0.168613,0.090909
normal,0.170568,0
normal,0.169457,0
normal,0.168307,0.083333
normal,0.169895,0
normal,0.168704,0.076923
normal,0.170078,0
normal,0.170078,0
normal,0.167514,0.071429
normal,0.169895,0
normal,0.169895,0.066667
normal,0.172117,0
normal,0.169339,0.0625
normal,0.171422,0.058824
normal,0.173383,0
