@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
normal,0,0
normal,0,0
normal,0.15,0
normal,0.15,0
anormal,0.15,0
normal,0.15,0
normal,0.15,0
normal,0.15,0
anormal,0.15,0
normal,0.15,0
anormal,0.15,0
normal,0.15,0
anormal,0.15,0
normal,0.15,0
normal,0.15,0
normal,0.15,0.142857
normal,0.159524,0.125
normal,0.166741,0
normal,0.165756,0.111111
normal,0.171054,0
normal,0.169946,0.1
normal,0.173948,0
normal,0.172808,0.090909
normal,0.175904,0.083333
normal,0.1784,0
normal,0.177217,0.076923
normal,0.179205,0.071429
normal,0.180829,0
normal,0.179687,0.066667
normal,0.181008,0.0625
normal,0.182094,0
normal,0.181024,0.058824
normal,0.182985,0
normal,0.182985,0.055556
normal,0.184837,0.052632
normal,0.186591,0
normal,0.186591,0.05
normal,0.188258,0
normal,0.188258,0.047619
normal,0.189845,0.045455
normal,0.19136,0
normal,0.19136,0.130435
normal,0.195708,0.1
anormal,0.199042,0.1
normal,0.202375,0.027027
normal,0.203276,0.027778
normal,0.19944,0.028571
normal,0.196226,0
normal,0.196226,0.029412
anormal,0.193502,0.029412
anormal,0.194483,0.029412
normal,0.19213,0.0625
normal,0.194213,0
normal,0.191183,0.066667
normal,0.190627,0
normal,0.190627,0.071429
normal,0.190444,0
normal,0.188063,0
normal,0.188063,0.076923
normal,0.188405,0
normal,0.186322,0
normal,0.186322,0
normal,0.184361,0.083333
normal,0.187139,0
normal,0.185287,0
normal,0.183532,0
normal,0.183532,0
normal,0.181866,0.090909
normal,0.184896,0
normal,0.183309,0
normal,0.181794,0
normal,0.181794,0
normal,0.177446,0
normal,0.174112,0
normal,0.170779,0
normal,0.169878,0
normal,0.168952,0.1
normal,0.171333,0
normal,0.171333,0
normal,0.170353,0
normal,0.169372,0
normal,0.168392,0.090909
normal,0.169339,0
normal,0.169339,0
normal,0.167117,0.083333
normal,0.169895,0
normal,0.167514,0.076923
normal,0.170078,0
normal,0.170078,0
normal,0.167514,0.071429
normal,0.169895,0
normal,0.169895,0.066667
normal,0.172117,0
normal,0.169339,0.0625
anormal,0.171422,0.0625
normal,0.173506,0.043478
normal,0.174955,0.027778
normal,0.175881,0.027027
normal,0.173751,0.026316
normal,0.174629,0.051282
anormal,0.176338,0.051282
anormal,0.178047,0.051282
normal,0.179757,0.047619
normal,0.181344,0
normal,0.181344,0.045455
normal,0.182859,0.043478
normal,0.184309,0
